PostalCode,City,State,Region,Country,CustomerID,CustomerName,Segment,ProductID,ProductName,Manufacturer,SubCategory,Category,OrderID,OrderDate,ShipDate,ShipMode,OrderItemID,Discount,Quantity,Profit,Sales
20735,Clinton,Maryland,East,United States,C00106,Brian Thompson,Consumer,L00176,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Avery,Labels,Office Supplies,CA-2012-132626,2012/7/9,2012/7/14,Standard Class,CA-2012-132626-L00176,0,3,6,12
80134,Parker,Colorado,West,United States,C00331,Maribeth Yedwab,Corporate,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,US-2013-105578,2013/5/31,2013/6/5,Standard Class,US-2013-105578-L01616,0.2,1,12,33
77095,Houston,Texas,Central,United States,C00392,Ed Braxton,Corporate,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,CA-2012-128125,2012/3/31,2012/4/5,Standard Class,CA-2012-128125-L01616,0.2,3,36,98
48104,Ann Arbor,Michigan,Central,United States,C00017,Brian Moss,Corporate,L00968,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Other,Phones,Technology,CA-2012-124107,2012/10/9,2012/10/12,Second Class,CA-2012-124107-L00968,0,3,8,29
30080,Smyrna,Georgia,South,United States,C00002,Paul Prost,Home Office,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,US-2013-108504,2013/2/5,2013/2/5,Same Day,US-2013-108504-L01616,0,3,60,123
70506,Lafayette,Louisiana,South,United States,C00386,Lauren Leatherbury,Consumer,L00968,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Other,Phones,Technology,US-2014-163195,2014/2/18,2014/2/22,Second Class,US-2014-163195-L00968,0,3,8,29
90004,Los Angeles,California,West,United States,C00251,Dianna Vittorini,Consumer,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,US-2014-152002,2014/6/12,2014/6/12,Same Day,US-2014-152002-L01616,0,3,60,123
77036,Houston,Texas,Central,United States,C00215,Adrian Hane,Home Office,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,CA-2014-107958,2014/7/3,2014/7/6,First Class,CA-2014-107958-L01616,0.2,5,59,164
19805,Wilmington,Delaware,East,United States,C00025,Steven Cartwright,Consumer,L00968,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Other,Phones,Technology,CA-2013-103730,2013/6/13,2013/6/16,First Class,CA-2013-103730-L00968,0,7,20,68
48066,Roseville,Michigan,Central,United States,C00221,Skye Norling,Home Office,L01616,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Other,Paper,Office Supplies,CA-2013-118101,2013/6/27,2013/6/27,Same Day,CA-2013-118101-L01616,0,9,181,369
77095,Houston,Texas,Central,United States,C00009,Zuschuss Carroll,Consumer,L00814,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",Holmes,Appliances,Office Supplies,US-2014-102288,2014/6/20,2014/6/24,Standard Class,US-2014-102288-L00814,0.8,1,-5,2
94110,San Francisco,California,West,United States,C00521,Ashley Jarboe,Consumer,L00814,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",Holmes,Appliances,Office Supplies,CA-2012-164497,2012/11/28,2012/11/30,First Class,CA-2012-164497-L00814,0,4,15,45
36830,Auburn,Alabama,South,United States,C00070,Anne McFarland,Consumer,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2013-145905,2013/9/19,2013/9/24,Standard Class,CA-2013-145905-L01196,0,1,84,351
10035,New York City,New York,East,United States,C00217,Todd Sumrall,Corporate,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2014-166436,2014/11/25,2014/11/29,Standard Class,CA-2014-166436-L00095,0,1,3,6
85281,Tempe,Arizona,West,United States,C00101,Erin Smith,Corporate,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2011-108189,2011/10/2,2011/10/5,First Class,CA-2011-108189-L00095,0.2,2,3,9
90045,Los Angeles,California,West,United States,C00567,Catherine Glotzbach,Home Office,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2012-161242,2012/6/1,2012/6/8,Standard Class,CA-2012-161242-L00095,0,2,6,12
98115,Seattle,Washington,West,United States,C00485,Michelle Huthwaite,Consumer,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2012-148635,2012/7/25,2012/7/27,Second Class,CA-2012-148635-L01196,0.2,2,28,562
8861,Perth Amboy,New Jersey,East,United States,C00180,Gary Hansen,Home Office,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2014-132647,2014/2/18,2014/2/24,Standard Class,CA-2014-132647-L00095,0,2,6,12
98103,Seattle,Washington,West,United States,C00611,Cari Sayre,Corporate,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2014-147452,2014/10/1,2014/10/4,First Class,CA-2014-147452-L00095,0,2,6,12
63116,Saint Louis,Missouri,Central,United States,C00482,Nora Paige,Consumer,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2014-167227,2014/11/3,2014/11/6,First Class,CA-2014-167227-L00095,0,2,6,12
40214,Louisville,Kentucky,South,United States,C00514,Brendan Sweed,Corporate,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,US-2014-109610,2014/11/26,2014/12/1,Second Class,US-2014-109610-L01196,0,2,168,702
24153,Salem,Virginia,South,United States,C00330,Max Engle,Consumer,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2014-143756,2014/12/3,2014/12/6,First Class,CA-2014-143756-L01196,0,2,168,702
90032,Los Angeles,California,West,United States,C00022,Chris Selesnick,Corporate,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2014-153227,2014/12/5,2014/12/7,First Class,CA-2014-153227-L00095,0,2,6,12
92105,San Diego,California,West,United States,C00206,Jay Fein,Consumer,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2012-132486,2012/10/23,2012/10/27,Second Class,CA-2012-132486-L01196,0.2,3,42,842
83201,Pocatello,Idaho,West,United States,C00237,Mark Van Huff,Consumer,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2013-161361,2013/3/27,2013/3/29,Second Class,CA-2013-161361-L00095,0,3,9,18
68104,Omaha,Nebraska,Central,United States,C00310,Alejandro Grove,Consumer,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2013-105732,2013/9/14,2013/9/19,Standard Class,CA-2013-105732-L00095,0,3,9,18
2908,Providence,Rhode Island,East,United States,C00376,Rick Huthwaite,Home Office,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,CA-2013-168354,2013/9/20,2013/9/22,First Class,CA-2013-168354-L00094,0,3,8,17
10035,New York City,New York,East,United States,C00661,Cyra Reiten,Home Office,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,US-2014-136868,2014/10/7,2014/10/13,Standard Class,US-2014-136868-L00094,0,3,8,17
1453,Leominster,Massachusetts,East,United States,C00219,Sung Shariari,Consumer,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,CA-2012-154900,2012/2/25,2012/3/1,Standard Class,CA-2012-154900-L00094,0,4,10,23
90049,Los Angeles,California,West,United States,C00438,Jas O'Carroll,Consumer,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,US-2013-115819,2013/4/20,2013/4/25,Second Class,US-2013-115819-L00094,0,4,10,23
54302,Green Bay,Wisconsin,Central,United States,C00083,Barry Franzosisch,Corporate,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,CA-2014-133333,2014/9/19,2014/9/23,Standard Class,CA-2014-133333-L00094,0,4,10,23
95823,Sacramento,California,West,United States,C00780,Stefanie Holloman,Corporate,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2011-124247,2011/12/16,2011/12/21,Standard Class,CA-2011-124247-L01196,0.2,5,70,1404
60610,Chicago,Illinois,Central,United States,C00502,Fred Chung,Corporate,L00095,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 300/Messages",Adams,Paper,Office Supplies,CA-2012-121405,2012/3/30,2012/4/4,Standard Class,CA-2012-121405-L00095,0.2,5,9,24
94109,San Francisco,California,West,United States,C00163,Sylvia Foulston,Corporate,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2013-146913,2013/11/1,2013/11/6,Standard Class,CA-2013-146913-L01196,0.2,5,70,1404
92677,Laguna Niguel,California,West,United States,C00102,Edward Becker,Corporate,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,CA-2014-161459,2014/11/26,2014/11/30,Second Class,CA-2014-161459-L00094,0,6,15,34
53711,Madison,Wisconsin,Central,United States,C00031,Resi Polking,Consumer,L01196,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Office Star,Chairs,Furniture,CA-2011-120474,2011/12/1,2011/12/3,First Class,CA-2011-120474-L01196,0,8,674,2808
60653,Chicago,Illinois,Central,United States,C00426,Meg O'Connel,Home Office,L00094,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2, 200/Messages",Adams,Paper,Office Supplies,US-2014-106663,2014/6/10,2014/6/14,Standard Class,US-2014-106663-L00094,0.2,8,11,36
10009,New York City,New York,East,United States,C00699,Dennis Bolton,Home Office,L01195,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Office Star,Chairs,Furniture,CA-2013-139556,2013/4/27,2013/5/2,Standard Class,CA-2013-139556-L01195,0.1,3,63,435
10035,New York City,New York,East,United States,C00035,Adam Shillingsburg,Consumer,L01195,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Office Star,Chairs,Furniture,CA-2011-156160,2011/9/22,2011/9/29,Standard Class,CA-2011-156160-L01195,0.1,4,84,580
79762,Odessa,Texas,Central,United States,C00437,Jason Gross,Corporate,L01195,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Office Star,Chairs,Furniture,CA-2013-116799,2013/3/4,2013/3/7,First Class,CA-2013-116799-L01195,0.3,5,-56,563
94601,Oakland,California,West,United States,C00108,Brenda Bowman,Corporate,L01195,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Office Star,Chairs,Furniture,CA-2014-102379,2014/12/3,2014/12/7,Standard Class,CA-2014-102379-L01195,0.2,9,43,1159
11561,Long Beach,New York,East,United States,C00344,Fred Hopkins,Corporate,L01195,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Office Star,Chairs,Furniture,CA-2012-162047,2012/11/3,2012/11/5,First Class,CA-2012-162047-L01195,0.1,10,209,1449
10024,New York City,New York,East,United States,C00222,Shahid Hopkins,Consumer,L01345,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",REDIFORM,Paper,Office Supplies,CA-2014-122280,2014/9/11,2014/9/11,Same Day,CA-2014-122280-L01345,0,2,9,19
90008,Los Angeles,California,West,United States,C00076,Pamela Stobb,Consumer,L01345,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",REDIFORM,Paper,Office Supplies,CA-2014-128965,2014/4/18,2014/4/23,Standard Class,CA-2014-128965-L01345,0,3,14,28
90004,Los Angeles,California,West,United States,C00136,Bill Donatelli,Consumer,L01345,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",REDIFORM,Paper,Office Supplies,CA-2013-167241,2013/8/16,2013/8/23,Standard Class,CA-2013-167241-L01345,0,4,18,38
90004,Los Angeles,California,West,United States,C00055,Suzanne McNair,Corporate,L01345,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",REDIFORM,Paper,Office Supplies,CA-2014-120614,2014/5/31,2014/6/5,Standard Class,CA-2014-120614-L01345,0,4,18,38
10011,New York City,New York,East,United States,C00665,Chad McGuire,Consumer,L01345,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",REDIFORM,Paper,Office Supplies,CA-2014-100524,2014/4/1,2014/4/3,Second Class,CA-2014-100524-L01345,0,8,36,75
19134,Philadelphia,Pennsylvania,East,United States,C00405,Alan Dominguez,Home Office,L00010,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2 X 11 Cards, 25 Env./Pack",Other,Paper,Office Supplies,CA-2011-128062,2011/11/19,2011/11/22,Second Class,CA-2011-128062-L00010,0.2,1,2,6
19805,Wilmington,Delaware,East,United States,C00378,Pierre Wener,Consumer,L00010,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2 X 11 Cards, 25 Env./Pack",Other,Paper,Office Supplies,CA-2012-144274,2012/11/23,2012/11/25,Second Class,CA-2012-144274-L00010,0,6,21,44
98105,Seattle,Washington,West,United States,C00291,Fred Harton,Consumer,L01533,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49",Tenex,Furnishings,Furniture,CA-2014-104801,2014/2/14,2014/2/20,Standard Class,CA-2014-104801-L01533,0,1,22,108
47201,Columbus,Indiana,Central,United States,C00238,Maris LaWare,Consumer,L00096,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Adams,Paper,Office Supplies,CA-2014-121580,2014/5/30,2014/6/5,Standard Class,CA-2014-121580-L00096,0,1,4,8
